firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU573,2019-03-31 23:37:45 +0000 UTC,UmF0aW5nLTMxNTA2Mjc1,5,3,5,1.0,0.0,She&#39;s awesome. Take her!,Respected--Hilarious--Lecture heavy,,A,mandatory,True,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPED101,2018-04-26 21:14:11 +0000 UTC,UmF0aW5nLTI5OTA4NTE1,5,4,5,1.0,5.0,This woman speaks the way it is. She&#39;s such a tough cookie. I admire her so much. I can&#39;t wait to take another course with her. She&#39;s so experienced in her field and she&#39;s funny!,Inspirational--Amazing lectures--Caring,,A,mandatory,True,False,[],2,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,INTRO660,2011-03-20 16:01:26 +0000 UTC,UmF0aW5nLTE4MjkxNTQz,5,3,5,,4.0,"Professor Frey is great!  Prior to taking the class I read the comments on here and was honestly scared, but I found her class to be one of my favorites at Adelphi.  I did not find her condescending at all - she can be a jokester, but most students know how to take her jokes.  Take her class!!",,,,,False,False,[],1,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,ED650,2010-03-17 10:30:48 +0000 UTC,UmF0aW5nLTE2ODgwNjA5,3,2,1,,1.0,"she will loose papers throughout the semester, make sure you keep a copy of everything",,,,,False,False,[],0,3
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU000,2010-03-09 20:12:44 +0000 UTC,UmF0aW5nLTE2ODYwMDI5,2,2,1,,1.0,"Her &#34;story time&#34; brings a lot of knowledge and experience with it. She is a straight shooter and sometimes her criticism is hard to take, but believe me, you will be a better teacher/person. I can equate it to listening to your grandparent. You think the advice is stupid but when they are gone,you realize how practical/useful the advice was.",,,,,False,False,[],0,2
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU000,2010-03-09 20:12:29 +0000 UTC,UmF0aW5nLTE2ODYwMDI4,2,2,1,,1.0,"Her &#34;story time&#34; brings a lot of knowledge and experience with it. She is a straight shooter and sometimes her criticism is hard to take, but believe me, you will be a better teacher/person. I can equate it to listening to your grandparent. You think the advice is stupid but when they are gone,you realize how practical/useful the advice was.",,,,,False,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPED600,2009-12-29 22:25:10 +0000 UTC,UmF0aW5nLTE2NjU2MDI1,2,2,1,,1.0,"Professor Frey is the worst Professor I took at Adelphi this semester. She is condescending, has her favorites and forgets to actually teach the last two months of the semester! She likes to ridicule her students and treats them as if they were stupid.",,,,,False,False,[],0,4
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPEC600,2009-12-15 08:48:37 +0000 UTC,UmF0aW5nLTE2NTU4MDE5,1,2,1,,2.0,"Worst teacher ever.  Rude, condescending, didn&#39;t teach a single thing!  Waste of time, even though I got an A.  Wish I had spent my 3 grand on something better than this...",,,,,False,False,[],0,2
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPEDU600,2009-10-09 13:10:05 +0000 UTC,UmF0aW5nLTE2MjI5NTg4,3,4,5,,1.0,"Looking back at my college experience, I can truly say that Prof. Frey was the BEST professor in Adelphi.  You might not appreciate her style/content of her lessons now; but when you get into &#34;the real world&#34; you will appreciate that Prof Frey is the only one who taught you the pertinent information you will use.",,,,,False,False,[],0,2
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,INTRO600,2009-05-13 11:38:24 +0000 UTC,UmF0aW5nLTE1ODI3NDQz,4,1,4,,1.0,Good teacher. Doesn&#39;t use the textbook. Gives tests based on her lessons in class only.,,,,,False,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPED020,2008-08-25 22:28:19 +0000 UTC,UmF0aW5nLTE0Nzc0MTk1,5,3,5,,4.0,"Absolutely wonderful woman.  She is an educated, worldly and knowledgeable professor who discusses topics in detail.  Many valuable lessons can be learned in her experience.  Provides clear method of grading and fair quizzes that reflect notes.  If you attend class, take notes and listen you will do very well.  I would take more classes with her.",,,,,False,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPED305,2006-01-19 13:12:18 +0000 UTC,UmF0aW5nLTExMzg5MzQ2,1,3,2,,,"Wow, what a waste of time. She is unprepared, unclear, condescending and never gives anyone a chance to respond or say anything. One of the worst professors I ever had &amp; I would NEVER consider taking another class with her.  I got an A, but I didn&#39;t learn a thing.  Same with everyone else in the class.",,,,,False,False,[],0,2
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,SPED,2005-08-30 20:26:56 +0000 UTC,UmF0aW5nLTEwMjc2MTQx,4,2,4,,,"She is an awesome teacher.  She teaches you about everything, is flexible, smart, and willing to help and discuss. She is difficult but very fair.  Take Her!",,,A,,False,False,[],1,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,INTTOSPECED,2005-07-28 18:53:30 +0000 UTC,UmF0aW5nLTEwMDcwNjMz,1,5,1,,,Pass her horrible self-made quizzes or it doesn&#39;t matter how many A&#39;s you get on all other projects,,,,,False,False,[],0,1
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,810600,2005-04-06 17:52:17 +0000 UTC,UmF0aW5nLTM1NzIxNDE=,4,2,4,,,nice professor... very qualified and knew her stuff... she&#39;s got plenty to say and is a fair grader.... do the reading- you&#39;ll learn much more than lecture time,,,,,False,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU800,2004-12-27 21:00:22 +0000 UTC,UmF0aW5nLTMxMjExMTM=,1,1,1,,,"Wow. I can&#39;t believe I spent 2000 dollars for this class. Talk about lack of instruction. You may think she knows what she is talking about, but if you are already a teacher like myself, this class was a waste of time. Her grading system is completely unclear, I would never take another class with h",,,,,False,False,[],0,2
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU,2004-10-29 23:32:17 +0000 UTC,UmF0aW5nLTI2MTg4MzA=,5,3,5,,,"really great teacher, tough lady though.  very fair, and totally knows what she is talking about.",,,,,False,False,[],0,1
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,STEP,2004-05-08 20:54:21 +0000 UTC,UmF0aW5nLTIxMTIwNjU=,4,2,4,,,knows what she is teaching,,,,,False,False,[],0,0
Anita,Frey,VGVhY2hlci01MTM3Mw==,Education,Adelphi University,EDU573,2004-03-29 20:34:44 +0000 UTC,UmF0aW5nLTE4NjYwMDg=,1,4,3,,,"Ambiguous in her instruction, Nice lady AFTER CLASS..",,,,,False,False,[],0,0
