firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Zhou,Chen,VGVhY2hlci0yMjY0MjUz,English,Hunter College,ENGL331,2017-06-01 20:09:01 +0000 UTC,UmF0aW5nLTI4NDEyMDk2,4,1,4,1.0,0,"Literally the easiest class ever. Don&#39;t get the textbook because her lectures come straight out of it. She even tells you exactly what the tests will be like beforehand. Extra credit on every test, so if you just study a little this class will be a breeze.",TEST HEAVY--EXTRA CREDIT,,,,True,False,[],0,0
Caitlin,Carvalho,VGVhY2hlci0yMjY0NzAw,Media Studies,Hunter College,MEDP150,2017-06-05 00:55:37 +0000 UTC,UmF0aW5nLTI4NDIxOTYx,5,2,5,1.0,0,"When all the TA&#39;s were being introduced in the first lecture, I was glad I went with Carvalho. She is very understanding and starts from square one, making no assumptions and having no expectations that students know even the basics. Demonstrates all assignments in lab, which is mandatory and a large part of grade. TA&#39;s grade, and she is lenient.",Gives good feedback--Skip class? You won't pass.--Caring,,A,mandatory,True,False,[],0,0
David,Cruz,VGVhY2hlci0yMjY1NTU2,Studio Art,Hunter College,ARTCR235,2017-06-12 19:28:09 +0000 UTC,UmF0aW5nLTI4NDQ2ODA3,3,4,3,0.0,0,"He&#39;s a cool guy but he&#39;ll be hard on you even if ur a beginner. He doesn&#39;t teach he just lets you go for it with little direction and then later on if you ask for help he&#39;ll assist you. Visual learners beware, I had to watch a lot of Youtube videos to help me out. HW due every week, $100 materials fee due out of pocket at the end of the semester.",Skip class? You won't pass.--LOTS OF HOMEWORK,,,,True,False,[],0,0
Morris,Aronsky,VGVhY2hlci0yMjY1NjA4,Chemistry,Hunter College,CHEM101,2018-01-19 01:25:24 +0000 UTC,UmF0aW5nLTI5NDc2Nzgz,5,4,5,1.0,0,"Nice Guy easy class doesnt care what you do, show up and youll pass",Tough Grader--ACCESSIBLE OUTSIDE CLASS--Hilarious,,A-,mandatory,True,False,[],0,0
Morris,Aronsky,VGVhY2hlci0yMjY1NjA4,Chemistry,Hunter College,CHEM224,2017-06-13 00:36:03 +0000 UTC,UmF0aW5nLTI4NDQ3Nzg0,3,4,3,0.0,0,"Seems like he doesn&#39;t care about us but is informative, Hard Grader . Nice if you ask for help",Tough Grader--Gives good feedback--Hilarious,,,non mandatory,True,False,[],0,0
Kirsten,Beck,VGVhY2hlci0yMjY1OTIz,Languages,Hunter College,MES250,2019-01-03 00:15:45 +0000 UTC,UmF0aW5nLTMxMTkwNDkx,1,5,1,0.0,5,If you want to maintain a good Gpa stay away from her . Shes a very ba professor. She makes her students feel stupid during class discussions. No matter how much effort you put in your essays she will still give you a bad grade. I took my papers to the writing center and still recieved bad grades on them . Dont take her trust me,Tough Grader--Skip class? You won't pass.--LECTURE HEAVY,,,mandatory,True,False,[],0,0
Kirsten,Beck,VGVhY2hlci0yMjY1OTIz,Languages,Hunter College,MES160,2018-09-19 15:12:31 +0000 UTC,UmF0aW5nLTMwNTEwMjIy,1,5,1,0.0,5,"Worst professor Ive ever had. Never met a professor who wants to see her students fail. Even if you do all of the readings and speak up in class, its still not good enough. If she catches you pausing and not speaking, your daily participation grades lowers. Most retarded system of grading and shes mean. Do yourself a favor and dont take her",Tough Grader--Get ready to read--Participation matters,,,mandatory,True,False,[],0,1
Kirsten,Beck,VGVhY2hlci0yMjY1OTIz,Languages,Hunter College,ARB101,2017-12-28 15:43:08 +0000 UTC,UmF0aW5nLTI5MzUxMjE3,5,4,5,1.0,5,"The class is hard (about fifteen kids dropped the Hunter summer course), but Kirsten is a terrific prof. She truly cares about the success of each student and pushes them to their limits. She provides plenty of resources outside class, and is always happy to help with assignments.",Gives good feedback--Participation matters--LOTS OF HOMEWORK,,,mandatory,True,False,[],2,0
Kirsten,Beck,VGVhY2hlci0yMjY1OTIz,Languages,Hunter College,ARB101,2017-10-24 02:32:46 +0000 UTC,UmF0aW5nLTI4Nzc1NTUx,1,5,1,0.0,5,"Please save yourself and your money and don&#39;t take her. Even if you dedicate your day to this class, she&#39;s still looking for more. Terrible. You&#39;ll be spending all day on homework. A chapter a day in the summer which was impossible .",Tough Grader--LOTS OF HOMEWORK,,,mandatory,True,False,[],1,2
Kirsten,Beck,VGVhY2hlci0yMjY1OTIz,Languages,Hunter College,ARB101,2017-08-16 19:42:28 +0000 UTC,UmF0aW5nLTI4NjIwMTU3,5,4,5,1.0,5,"Easily one of the best professors I have ever had! She has an incredible passion for Arabic and a great sense of humor. You should expect a couple hours of HW every week for 101 &amp; 102  stay on top of the workload, be prepared to participate, and you&#39;ll do well. Also, attend office hours if you&#39;re ever lost; she cares about her students a lot.",Gives good feedback--Participation matters--Caring,,A,mandatory,True,False,[],2,0
Matthew,Lopatto,VGVhY2hlci0yMjY1OTc3,Psychology,Hunter College,PSYCH248,2018-05-17 20:39:39 +0000 UTC,UmF0aW5nLTMwMTQwNzU3,5,1,5,1.0,0,Took Professor Lopatto for stats lab this year and he&#39;s super nice. He was really lax with grading and wasn&#39;t a horrible perfectionist like most. His explanations were clear and the labs are easy. If you have any questions he or his lab assistant are more than happy to help out! I finished with an A and would totally take another class with him.,Respected--Clear grading criteria--GRADED BY FEW THINGS,,A+,mandatory,True,False,[],0,2
Matthew,Lopatto,VGVhY2hlci0yMjY1OTc3,Psychology,Hunter College,PSY248,2017-11-29 20:45:44 +0000 UTC,UmF0aW5nLTI4OTk0MTM2,5,3,5,1.0,5,Prof. Lopatto is a very nice and respectful person. Fair and generous grader! Highly recommended.,Tests? Not many--Clear grading criteria--Would take again,,,,True,False,[],1,2
Matthew,Lopatto,VGVhY2hlci0yMjY1OTc3,Psychology,Hunter College,PSY248,2017-06-14 23:24:20 +0000 UTC,UmF0aW5nLTI4NDU1MDQw,4,3,4,1.0,0,He is very cute and very nice. He is very helpful and I would definitely take another class with him. I would definitely recommend him to anyone.,Respected--Hilarious--Caring,,A,mandatory,True,False,[],1,2
Mark,Drury,VGVhY2hlci0yMjY3Njg4,Anthropology,Hunter College,ANT101,2018-11-28 13:35:56 +0000 UTC,UmF0aW5nLTMwODAyNzIz,5,2,5,1.0,0,"I took this class at Pace not Hunter. But he is such a great professor, so smart and loves ANT made me very interested in the class and I learned SO MUCH. read the assigned articles it is a discussion based class. exams were not a problem and he is a very caring professor. such a sweet man.",Get ready to read--Amazing lectures--Caring,,,mandatory,True,False,[],1,0
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSY248,2018-02-03 20:26:23 +0000 UTC,UmF0aW5nLTI5NTMzNzU0,1,5,1,0.0,5,He is very confusing!!! Tough grader. Would NOT take him again.,Tough Grader,,,,True,False,[],0,1
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSY248,2017-08-24 10:34:28 +0000 UTC,UmF0aW5nLTI4NjM3NTU3,3,4,3,1.0,5,"Quirky and funny guy. He knows what he&#39;s talking about and what he&#39;s teaching. Can be a little confusing but he&#39;ll go over things again until you&#39;re clear. There&#39;s a lot of homework but it&#39;s to your benefit, if you do the hw and read the textbook you will do well in the class. He also gives extra credit, and offers his time outside of class to help",Tough Grader--LOTS OF HOMEWORK--Clear grading criteria,,,,True,False,[],0,1
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSYCH248,2017-07-28 13:46:49 +0000 UTC,UmF0aW5nLTI4NTY1MTQ2,4,3,4,1.0,0,"He is a very sweet, helpful, and majorly good-looking  person. His explanations, though, could be more clear, but otherwise, there to assist you with your questions. Projects are hard but does go through them during classtime.",Clear grading criteria--Caring--GROUP PROJECTS,,B+,mandatory,True,False,[],1,1
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSYCH248,2017-07-18 22:46:32 +0000 UTC,UmF0aW5nLTI4NTQwOTg1,2,4,2,0.0,5,"Strict and tough grader, also pretty confusing.",Tough Grader--ACCESSIBLE OUTSIDE CLASS,,Rather not say,mandatory,True,False,[],1,2
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSYCH248,2017-07-17 19:12:41 +0000 UTC,UmF0aW5nLTI4NTM3NjQ4,3,3,3,1.0,5,"V. Kind sweet and chill person. Took him for lab in SS1 17. The TA was excellent as well. Though, his answers to Qs were very confusing most of the time so make sure to ask help from TA or group. Lab assignments r confusing which r sort of explained in class. BUT still very nice, grades fairly, gives useful lectures.  PLUS HE IS SMOKING HOT. WOOF.",Skip class? You won't pass.--ACCESSIBLE OUTSIDE CLASS--Caring,,,mandatory,True,False,[],2,3
Adam,Fishman,VGVhY2hlci0yMjY4Mjkx,Psychology,Hunter College,PSYCH248,2017-07-14 00:53:57 +0000 UTC,UmF0aW5nLTI4NTMwNzk2,4,4,4,1.0,5,Really nice instructor whose super passionate about Statistical psychology.,Gives good feedback--Respected--Clear grading criteria,,B,mandatory,True,False,[],2,2
Louis,Hernandez,VGVhY2hlci0yMjY4NTU4,Counseling,Hunter College,COCO715,2017-07-04 16:32:00 +0000 UTC,UmF0aW5nLTI4NTA2MTAy,5,3,5,1.0,5,"Prof. Hernandez teaches the summer family systems class for Grad School Counseling. He is an outstanding teacher, combing theory, practice and personal  experience from his long career (mainly as a school counselor but applicable to all counseling settings) Classes are varied and fast-paced, fully engaging students 2.5 hours 2x/wk for 5 weeks.",Inspirational--Caring--GROUP PROJECTS,,A,mandatory,True,False,[],0,0
Jiyoung,Park,VGVhY2hlci0yMjY5NTU4,Studio Art,Hunter College,ARTCR326,2019-07-12 18:31:13 +0000 UTC,UmF0aW5nLTMyMDkzNzAz,5,2,5,1.0,0,"She&#39;s an amazing professor who cares about the subject. It is a graphic arts course, you learn the basics if you&#39;re a beginner and if you are advanced she will help you with your own ideas and projects. A caring, professional person who is passionate about art.",Gives good feedback--Respected--Accessible outside class,,A+,mandatory,True,False,[],0,0
