firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,HIST2282,2021-05-12 15:36:28 +0000 UTC,UmF0aW5nLTM0Nzc0MzE5,3,1,3,1.0,5.0,"Shes really nice and great to talk to. However, I felt it was a waste of time and I didnt get much out of it. I felt I didnt learn much about the topic of genocide instead just discussed it. While she is super nice, the lectures were a complete waste of time and the class was poorly set up. Its easy to get a good grade but you may fall asleep.",,,A-,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2021-04-30 20:34:53 +0000 UTC,UmF0aW5nLTM0NjcwODUw,3,1,3,0.0,5.0,"There were a lot of wasted class days (e.g., 3 classes on student introductions, 4 as extra office hours, etc.). The lectures and readings are repeats of one another--there is also zero primary source material. Professor Bormann is not a tough grader at all and the feedback is minimally helpful. It&#39;s an easy course but it&#39;s also a quite boring one.",Accessible outside class--Clear grading criteria--So many papers,,A-,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2021-04-21 03:45:43 +0000 UTC,UmF0aW5nLTM0NTg3OTQ3,5,4,5,1.0,5.0,"Amazing professor. You learn a lot from her and she helps you understand the material better than anybody. Extremely accesible, will help you with any questions or concerns and makes you feel comfortable. Lots of papers and a semi tough grader, however her feedback was extremely helpful and she was always extremely fair. All in all a great prof.",Gives good feedback--Amazing lectures--So many papers,,A-,mandatory,True,True,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,HIST2282,2020-11-16 13:24:22 +0000 UTC,UmF0aW5nLTMzODIzMDc2,5,2,5,1.0,5.0,"Prof. Boremann is phenomenal. She is a great lecturer and clearly very knowledgeable. Not only that but she is incredibly sweet and always willing to chat and help out her students. In this class the grade consisted of 2 papers, 1 small group presentation and a final project non of which were especially difficult. Very doable and interesting class",Gives good feedback--Respected--Accessible outside class,,A,non mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS4701,2020-02-08 10:00:11 +0000 UTC,UmF0aW5nLTMyODk3OTE2,5,3,5,1.0,5.0,"A super knowledgable and effective scholar and lecturer. She does at times push her own perspectives almost as facts to her students in class, but that doesn&#39;t mean she&#39;s close-minded. While she may disagree with you, Professor Bormann encourages and supports her students to have their own points of view.",,,,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2282,2020-01-02 16:37:55 +0000 UTC,UmF0aW5nLTMyNzgzNDA1,4,4,4,1.0,0.0,"Here&#39;s the thing about Dr. Bormann, if she has a TA you get an easy A, if she is grading the papers herself you will have to work hard for it. Although she is EXTREMELY knowledgeable on Holocaust content, she is very stubborn to allow student points of views and ideas to succeed in papers. Being too politically correct is also her visible weakness.",Respected--Group projects--Tough grader,,A-,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2018-12-06 14:54:55 +0000 UTC,UmF0aW5nLTMwODk1NTc3,4,2,4,1.0,0.0,"Prof. Bormann is super nice, and clearly knows a lot about political science, but her Modern Political Thought class was pretty surface. Would not recommend taking if you&#39;ve taken social &amp; political phil, it&#39;s mostly the same authors. If this class is required for you though, you can&#39;t go wrong with her.",ACCESSIBLE OUTSIDE CLASS--Clear grading criteria--Caring,,,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2332,2017-09-07 10:48:34 +0000 UTC,UmF0aW5nLTI4NjYyNzQy,5,2,5,1.0,0.0,Professor Bormann is extremely knowledgeable. The thing I like the most is that she understand you take other courses and thus gives you a reasonable amount of papers for you to complete. She is nice and if you work and understand the material you definitely can get an A,Participation matters--Caring--EXTRA CREDIT,,,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2015-12-10 15:49:27 +0000 UTC,UmF0aW5nLTI1NjMwMzIx,5,1,4,,4.0,"Lectures are never boring, her accent and sense of humor make it interesting. Papers are fairly easy, but she can be a kind of tough grader on them. She lets you be creative with the final assignment, so if you&#39;re not a big writer there are opportunities to boost your grade.",,,,mandatory,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2015-12-01 19:29:55 +0000 UTC,UmF0aW5nLTI1NTE3ODY1,5,2,5,,3.0,"Great professor, very enthusiastic about the subject and good sense of humor. Class wasn&#39;t hard to go to ever. She knows what she&#39;s talking about and it doesn&#39;t hurt that the class was only 4 1000 word papers ",,,,,True,False,[],1,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2332,2015-04-28 19:29:26 +0000 UTC,UmF0aW5nLTI0NjkwMjU4,5,3,4,,3.0,Absolutely fantastic member of the PoliSci department. Love love loved her class.,,,,,True,False,[],0,0
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,POLS2328,2014-12-05 14:58:24 +0000 UTC,UmF0aW5nLTIzOTYxMjQ4,5,4,5,,2.0,"Class grade  4 papers (each 1000 - 1200 words) worth 20%each of grade and 10% attendanceparticipation. No tests, no surprises, no busy work!  One extra credit (5pt value) assignment.  Great class and professor! ",,,,,True,False,[],0,3
Natalie,Bormann,VGVhY2hlci0xMDE3ODgz,Political Science,Northeastern University,2328,2014-11-21 11:36:08 +0000 UTC,UmF0aW5nLTIzODY5NTQ1,4,2,4,,1.0,Overall great teacher! Always promotes a positive and engaging learning environment. Her accent is pretty awesome. ,,,,mandatory,True,False,[],0,2
