firstName,lastName,teacherId,department,schoolName,class,date,reviewId,clarityRating,difficultyRating,helpfulRating,wouldTakeAgain,textbookUse,comment,ratingTags,teacherNote,grade,attendanceMandatory,isForCredit,isForOnlineClass,thumbs,thumbsDownTotal,thumbsUpTotal
Cecelia,Peek,VGVhY2hlci0xOTIwNDc5,Classics,Brigham Young University,HIST247,2021-07-28 22:33:11 +0000 UTC,UmF0aW5nLTM0OTkyMzQy,5,4,5,1.0,5,I love her lectures. She is clearly passionate about what she does but she can be a bit scatter brained. This makes it difficult to discern whats important and what isnt. Terms and names are very important on the tests. She will always test you with long quotations and ask who was speaking and where it came from. She is very willing to help you.,Accessible outside class--Graded by few things--Amazing lectures,,B,non mandatory,True,False,[],0,0
Cecelia,Peek,VGVhY2hlci0xOTIwNDc5,Classics,Brigham Young University,HIST348,2017-12-18 11:38:27 +0000 UTC,UmF0aW5nLTI5MjU2MTU5,2,4,2,0.0,0,"I really really like Professor Peek as a person, but her class was rough for me. The powerpoint is crammed with information, and the study guide for the final was over 5 pages long with terms before it was even filled out. Most of the terms were super obscure. We only have two papers in the class, but it took her a month and a half to grade them.",TEST HEAVY--GRADED BY FEW THINGS--LECTURE HEAVY,,A+,non mandatory,True,False,[],0,0
Cecelia,Peek,VGVhY2hlci0xOTIwNDc5,Classics,Brigham Young University,HIST248,2016-04-18 11:37:00 +0000 UTC,UmF0aW5nLTI2MzE3NjAz,4,2,5,,4,"An absolute treat. Peek is incredibly witty and makes every class enjoyable. Very doable tests -- a midterm and a final -- and she is more than happy to let you take your final during one of her other class&#39; time slot if you have an issue with the time. Highly recommend, if only to hear her explain her kids&#39; names (which is a great story).",,,A,non mandatory,True,False,[],0,0
Cecelia,Peek,VGVhY2hlci0xOTIwNDc5,Classics,Brigham Young University,HIST247,2015-04-10 14:20:37 +0000 UTC,UmF0aW5nLTI0NTc1NjI5,4,3,4,,5,"Prof Peek is amazing, hands down. Very clear, very funny, and knows her stuff. While attendance isn&#39;t counted, you&#39;ll wanna go to class every day; from the earliest Greek past the age of Alexander, she makes history easy and fun. The tests are mildly challenging, but her TA holds excellent reviews. Please take from her -- you won&#39;t regret it.",,,,,True,False,[],0,0
Felicia,Farley,VGVhY2hlci0xOTIxMzg1,Psychology,Brigham Young University,PSYCH,2015-09-10 15:25:45 +0000 UTC,UmF0aW5nLTI1MTgyNDEw,5,2,5,,3,"Great teacher, great class, great experience. Would recommend.",,,A,,True,False,[],0,1
Felicia,Farley,VGVhY2hlci0xOTIxMzg1,Psychology,Brigham Young University,PSYCH111,2014-10-20 20:46:47 +0000 UTC,UmF0aW5nLTIzNjc0NTEx,5,1,5,,3,"Felicia is a great teacher and on top of that, she is a babe.  If you can find a class she is teaching, take it from her.",,,A,non mandatory,True,False,[],0,4
Heather,Thomson,VGVhY2hlci0xOTIyNjQ1,Writing,Brigham Young University,ENGL218,2015-12-16 20:44:54 +0000 UTC,UmF0aW5nLTI1NzMyNjM0,5,3,5,,3,"I loved Heather as a teacher! she is dedicated to helping us love and understand literature. Shes supper easy to talk to, and gives fantastic feedback on your writing. I definitely suggest taking from her.",,,A-,mandatory,True,False,[],0,0
Heather,Thomson,VGVhY2hlci0xOTIyNjQ1,Writing,Brigham Young University,ENGL218,2015-09-22 16:39:50 +0000 UTC,UmF0aW5nLTI1MjAzMTk4,2,4,2,,4,"I&#39;m tired of grad student instructors. They act like they&#39;re the center of your universe because they&#39;re finally teaching. We have to keep a running journal, while reading stories and writing summarization reviews each week, while attending several reading workshops that, if not attended, will destroy our grade, while writing large papers each week",,,,mandatory,True,False,[],0,0
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2017-04-20 00:07:15 +0000 UTC,UmF0aW5nLTI4MDg0NTg0,2,3,2,0.0,5,"Ugh. I hated this class. Instructions were unclear and assignments did not list all requirements, so unless you were listening very carefully in class you might miss what you actually needed to do. There were multiple projects going on at the same time and it was just a lot more stressful than an introductory class needed to be.",Skip class? You won't pass.,,A,,True,False,[],0,1
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2016-10-04 19:14:33 +0000 UTC,UmF0aW5nLTI3MDEyOTg5,3,2,3,1.0,5,Bro G has a lot of experience in his field. This was one of the most useful classes I took as a humanities major at BYU. Bro G helps you produce a basic design portfolio from nothing. But be prepared to speak up during class if you don&#39;t understand something; lectures are fast-paced and often hard to follow if you aren&#39;t willing to ask questions.,,,A,,True,False,[],1,1
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2016-09-29 22:43:16 +0000 UTC,UmF0aW5nLTI3MDAzNjE3,4,2,4,1.0,5,Super useful class and the final book project was so fun! Make sure to turn things in on time and don&#39;t be afraid to talk to the TA.,Gives good feedback--GROUP PROJECTS,,A+,mandatory,True,False,[],0,0
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2016-06-02 13:32:42 +0000 UTC,UmF0aW5nLTI2Njg0MzAy,3,2,3,1.0,0,"There isn&#39;t a lot of lecture time, mostly just time to work in class.  However, the class is pretty easy if you pay attention to instructions, and there is little homework outside of class.",,,,mandatory,True,False,[],0,0
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2016-02-29 13:25:22 +0000 UTC,UmF0aW5nLTI2MDk3MzYw,1,1,1,,5,"Professor Gardner&#39;s class is not hard - but don&#39;t take it if you want to learn anything. His class can be stressful because he is so unclear about assignments, and his lectures are. so. boring. He doesn&#39;t really teach, he mostly just talks out loud and expects you to follow along. Easy A, but a complete and total waste of time.",,,A,mandatory,True,False,[],0,0
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2015-12-09 02:13:58 +0000 UTC,UmF0aW5nLTI1NjAxOTY4,2,3,3,,2,"Brother Gardner is such a nice guy, but his class was way more stressful than it needed to be. His expectations for your assignments (including due dates) aren&#39;t very clear. He rushes through some important instructions and it&#39;s pretty difficult to catch up if you miss anything. ",,,,mandatory,False,False,[],0,1
Gary,Gardner,VGVhY2hlci0xOTIzODg2,University Studies,Brigham Young University,DIGHT230,2015-05-18 10:42:08 +0000 UTC,UmF0aW5nLTI0ODU3NjQ3,5,1,5,,3,Amazing teacher and now a friend! Extremely helpful in understanding and learning new concepts. Loved this class would recommend anyone to take this class from Brother Gardner!,,,,,True,False,[],0,0
Tyler,Foulger,VGVhY2hlci0xOTI2MDY1,Sign Language,Brigham Young University,ASL101,2014-11-05 13:39:51 +0000 UTC,UmF0aW5nLTIzNzQ4OTEx,5,2,5,,5,great guy great teacher ,,,,,True,False,[],0,0
